,guid,premise,hypothesis,label
148325,344205744111,A brunette couple smiles at the camera while sitting on a couch.,The couple are on the bed.,2
148326,344205744112,A brunette couple smiles at the camera while sitting on a couch.,The couple are in each other's laps.,1
148381,2956824677310,A member of the US Army accepts an award from an Asian man.,There is a member of the US Army accepting and award.,0
148382,2956824677312,A member of the US Army accepts an award from an Asian man.,The man has won a reward for his honor.,1
148383,2956824677311,A member of the US Army accepts an award from an Asian man.,There is a woman accepting an award.,2
148455,826919541312,There are two men playing in water in a pond.,Two men are swimming.,1
148456,826919541311,There are two men playing in water in a pond.,Two men are laying beside the water.,2
148457,826919541310,There are two men playing in water in a pond.,There are two men outdoors in the water.,0
148767,4653019748012,An older man sitting on an undetermined structure along a busy sidewalk.,There are many people and cars on the road.,1
148768,4653019748011,An older man sitting on an undetermined structure along a busy sidewalk.,The older man was the only person on the sidewalk.,2
148769,4653019748010,An older man sitting on an undetermined structure along a busy sidewalk.,The man is next to building.,0
148869,3927396708010,A woman in a green apron and rolled-up sleeves is handling the underside of one in a row of furry animals.,A woman in an apron inspects the belly of an animal standing in line,0
148870,3927396708011,A woman in a green apron and rolled-up sleeves is handling the underside of one in a row of furry animals.,A woman runs around with some furry animals.,2
148871,3927396708012,A woman in a green apron and rolled-up sleeves is handling the underside of one in a row of furry animals.,A woman puts some furry animals in a row,1
148929,3185787277312,Four of the same man in the same room.,The men all look alike.,1
148930,3185787277310,Four of the same man in the same room.,There are men in the same room.,0
148931,3185787277311,Four of the same man in the same room.,There are different men in the room.,2
148946,2961247549410,Tibetan monks in dress crowd a temple.,There are many monks.,0
148947,2961247549412,Tibetan monks in dress crowd a temple.,There are other people in the temple.,1
148948,2961247549411,Tibetan monks in dress crowd a temple.,The monks are wearing suits.,2
148988,2095835659211,Two people walking in the street one holding a pair of shoes.,Two people are running down the street.,2
148989,2095835659212,Two people walking in the street one holding a pair of shoes.,A man and woman are walking in the street holding flip flops.,1
148990,2095835659210,Two people walking in the street one holding a pair of shoes.,Two people are holding shoes outside.,2
149033,4691728367112,A group of 5 people standing outside a stone-brick building in the daylight.,A small group of people are outside because there was a fire drill.,1
149034,4691728367111,A group of 5 people standing outside a stone-brick building in the daylight.,A large group of people are waiting for a train.,2
149035,4691728367110,A group of 5 people standing outside a stone-brick building in the daylight.,A group of people are outside by the side of the building enjoy the day.,1
149114,4444835097210,A man sitting outside on the grass near a field and a nice tree.,The man is chilling in nature.,0
149115,4444835097212,A man sitting outside on the grass near a field and a nice tree.,The man is sitting at the park.,1
149116,4444835097211,A man sitting outside on the grass near a field and a nice tree.,The man is having fun with his kids.,2
149213,3730944181211,A group of people are entering a sports stadium.,A group of people having a picnic on the beach.,2
149214,3730944181210,A group of people are entering a sports stadium.,Sports fans are entering a stadium.,0
149215,3730944181212,A group of people are entering a sports stadium.,A group of people are attending a sports event.,1
149519,194970718011,"Two men are standing outside, wearing formal clothes.",The men are covered in dirt.,2
149520,194970718012,"Two men are standing outside, wearing formal clothes.",Two men are dressed in suits.,1
149521,194970718010,"Two men are standing outside, wearing formal clothes.",The men are getting some fresh air.,0
149693,3687736666112,Two kids running away from a huge green statue of a dinosaur.,Some kids run from Bozo the Clown mannequin,1
149694,3687736666111,Two kids running away from a huge green statue of a dinosaur.,Five hundred adults run toward a space craft landed in Central park,2
149695,3687736666110,Two kids running away from a huge green statue of a dinosaur.,Two children shy away quickly from an enormous statue of a T-Rex,0
149699,3687736666411,Two kids are running from the dinosaur statue.,The kids did not see the dinosaur statue.,2
149700,3687736666412,Two kids are running from the dinosaur statue.,The kids are at a museum.,1
149701,3687736666410,Two kids are running from the dinosaur statue.,The kids are moving around.,0
149825,5518762083310,Two children playing in the now and rolling it into a large ball.,Two children are making a large snowball.,0
149826,5518762083312,Two children playing in the now and rolling it into a large ball.,Two children building a snowman.,1
149827,5518762083311,Two children playing in the now and rolling it into a large ball.,Two children enjoying a hot chocolate inside are watching the snow.,2
149870,3134341610411,Two people with silly disguises at Christmas time,No one is in sight,2
149871,3134341610412,Two people with silly disguises at Christmas time,A couple wearing disguises,1
149872,3134341610410,Two people with silly disguises at Christmas time,Two people walking around,0
149987,3259666643412,A basketball player performing a lay-up.,A basketball player is playing in the championship game.,1
149988,3259666643410,A basketball player performing a lay-up.,A basketball player is going in for a shot.,0
149989,3259666643411,A basketball player performing a lay-up.,A basketball player is making a foul shot.,2
150032,3695949492211,Two similar brown dogs share holding a white toy while swimming.,two dogs playing indoors,2
150033,3695949492212,Two similar brown dogs share holding a white toy while swimming.,two dogs fighting over a toy in the water,1
150034,3695949492210,Two similar brown dogs share holding a white toy while swimming.,two animals in the water,0
150044,2644719500112,"A bride and groom, wearing leis, cutting their wedding cake.",The bride and groom are in Hawaii.,1
150045,2644719500110,"A bride and groom, wearing leis, cutting their wedding cake.",The bride and groom are celebrating their wedding.,0
150046,2644719500111,"A bride and groom, wearing leis, cutting their wedding cake.",The bride and groom are waiting to see their wedding cake.,2
150290,524862138212,"A child is laying down in a playground, while another child observes.",the children are at school,1
150291,524862138210,"A child is laying down in a playground, while another child observes.",the children are outside,0
150292,524862138211,"A child is laying down in a playground, while another child observes.",the kids are napping,2
150377,7113951085012,A female softball player wearing a pink jersey is trying to tag out a softball player who is sliding back into first base.,A baseball player slides into home plate,1
